,primary,yearpublished,Board Game Rank,image,type
0,7 Wonders,2010,45,https://cf.geekdo-images.com/original/img/3DP_RW5lTX0WrV67s8qi8CsiXoQ=/0x0/pic860217.jpg,Civilization
1,Race for the Galaxy,2007,49,https://cf.geekdo-images.com/original/img/-2F-mPR0ssTm2IAsMAvnZzR0dn4=/0x0/pic236327.jpg,Civilization
2,7 Wonders Duel,2015,16,https://cf.geekdo-images.com/original/img/M6wL1YFgW-PsdtJ328m2QiJf1K8=/0x0/pic3376065.jpg,Civilization
3,Terra Mystica,2012,11,https://cf.geekdo-images.com/original/img/CynjY3GgwPTg34abNIv8eLX1pXs=/0x0/pic1356616.jpg,Civilization
4,Tzolk'in: The Mayan Calendar,2012,38,https://cf.geekdo-images.com/original/img/b_3SHZiUpcmrIT5hU8wVF0SDX8k=/0x0/pic1413480.jpg,Civilization
5,Eclipse,2011,39,https://cf.geekdo-images.com/original/img/583Qqo-5M56np8LqnFKcCuUfn7A=/0x0/pic1974056.jpg,Civilization
6,Tigris & Euphrates,1997,72,https://cf.geekdo-images.com/original/img/vd6LHDJ-u-TkAAWafD2yG9-U974=/0x0/pic2338267.jpg,Civilization
7,Roll for the Galaxy,2014,67,https://cf.geekdo-images.com/original/img/SBmipyinTpLle9HmAfE0jJWKj3I=/0x0/pic1473629.jpg,Civilization
8,Imperial Settlers,2014,155,https://cf.geekdo-images.com/original/img/sQmQzoR0ZfYzUujohQGaGeGX4Hc=/0x0/pic2871265.jpg,Civilization
9,Twilight Imperium (Third Edition),2005,57,https://cf.geekdo-images.com/original/img/60YjBskGAQNmZP7sedVoXneBjZg=/0x0/pic4128153.jpg,Civilization
10,Carcassonne,2000,151,https://cf.geekdo-images.com/original/img/o4p6f88SGE899BTNMzTvERVWZ-M=/0x0/pic2337577.jpg,City Building
11,7 Wonders,2010,45,https://cf.geekdo-images.com/original/img/3DP_RW5lTX0WrV67s8qi8CsiXoQ=/0x0/pic860217.jpg,City Building
12,Puerto Rico,2002,20,https://cf.geekdo-images.com/original/img/RvdWBkmDks7AN8sodR4PyVcponA=/0x0/pic158548.jpg,City Building
13,Citadels,2000,353,https://cf.geekdo-images.com/original/img/URnubCk0xqx2UN9dW10JO22V4qg=/0x0/pic3239104.jpg,City Building
14,7 Wonders Duel,2015,16,https://cf.geekdo-images.com/original/img/M6wL1YFgW-PsdtJ328m2QiJf1K8=/0x0/pic3376065.jpg,City Building
15,Lords of Waterdeep,2012,54,https://cf.geekdo-images.com/original/img/PTVnjG9ersdKq6feZTpq5SkiPPw=/0x0/pic1116080.jpg,City Building
16,Alhambra,2003,432,https://cf.geekdo-images.com/original/img/ydyfKVtjjidDlseOP2rL2HHCD8Y=/0x0/pic1502118.jpg,City Building
17,Caylus,2005,50,https://cf.geekdo-images.com/original/img/90BzC8_Dgc9uDswnZsu7Qa3oHvI=/0x0/pic1638795.jpg,City Building
18,Le Havre,2008,40,https://cf.geekdo-images.com/original/img/Fs2MqRUBPQzORmEZbiVqSnBvHDg=/0x0/pic3330230.jpg,City Building
19,Machi Koro,2012,848,https://cf.geekdo-images.com/original/img/FpPrHXjhYhRQmhGAiHFX3-DFdtU=/0x0/pic1992476.jpg,City Building
20,Love Letter,2012,242,https://cf.geekdo-images.com/original/img/GuLL8qnP2Kv6cJatUQskLg9Ad0s=/0x0/pic1401448.jpg,Renaissance
21,Splendor,2014,131,https://cf.geekdo-images.com/original/img/PgaVULm0QKeFV2zTro4hJEb70Yk=/0x0/pic1904079.jpg,Renaissance
22,Azul,2017,37,https://cf.geekdo-images.com/original/img/9-SR48jyfxs4At6255sjHoly2sw=/0x0/pic3718275.jpg,Renaissance
23,El Grande,1995,59,https://cf.geekdo-images.com/original/img/PRrKZW4_33XEdB74wnOmjakKDa8=/0x0/pic87795.jpg,Renaissance
24,Thurn and Taxis,2006,376,https://cf.geekdo-images.com/original/img/OCseTfqqFRtInJ4lx7czVC4TFbc=/0x0/pic115300.jpg,Renaissance
25,Keyflower,2012,47,https://cf.geekdo-images.com/original/img/t6AnEi2l5tiHgWRjglwSfRsYy6E=/0x0/pic2278942.jpg,Renaissance
26,The Princes of Florence,2000,139,https://cf.geekdo-images.com/original/img/8i5Vx3vpbBn7CTrhWs3MK2eyA_4=/0x0/pic1306997.jpg,Renaissance
27,Notre Dame,2007,241,https://cf.geekdo-images.com/original/img/Am42X55-lpmGAEfNBLzcMxDz6Ns=/0x0/pic199316.jpg,Renaissance
28,Fresco,2010,274,https://cf.geekdo-images.com/original/img/nECd0Z9PQwvCLhFz5mXYpWYT1B4=/0x0/pic714398.jpg,Renaissance
29,Goa,2004,129,https://cf.geekdo-images.com/original/img/ZO3q3cZqX_34C9i7MriB4u6txjk=/0x0/pic1215969.jpg,Renaissance
30,Power Grid,2004,35,https://cf.geekdo-images.com/original/img/h8UWt217vzbMWSla-r8O86a6fDc=/0x0/pic4459753.jpg,Industry / Manufacturing
31,Terraforming Mars,2016,4,https://cf.geekdo-images.com/original/img/o8z_levBVArPUKI7ZrIysZEs1A0=/0x0/pic3536616.jpg,Industry / Manufacturing
32,Le Havre,2008,40,https://cf.geekdo-images.com/original/img/Fs2MqRUBPQzORmEZbiVqSnBvHDg=/0x0/pic3330230.jpg,Industry / Manufacturing
33,Brass: Lancashire,2007,22,https://cf.geekdo-images.com/original/img/l4dwCcl4Vz0r4TD-2RgQ_uoHvWM=/0x0/pic3469216.jpg,Industry / Manufacturing
34,Russian Railroads,2013,71,https://cf.geekdo-images.com/original/img/QgRFOE3J6RK3ZfJk2qa3Xbgl0GY=/0x0/pic1772936.jpg,Industry / Manufacturing
35,A Feast for Odin,2016,28,https://cf.geekdo-images.com/original/img/h0P5NRuVBu0GuDrJo7CHAiSJo3U=/0x0/pic3146943.png,Industry / Manufacturing
36,Food Chain Magnate,2015,29,https://cf.geekdo-images.com/original/img/wYRsC32bPDRShIYzWs2hUglfcTc=/0x0/pic2649434.png,Industry / Manufacturing
37,Ora et Labora,2011,105,https://cf.geekdo-images.com/original/img/pXyZlviudQYPzceCgoeWm46pyc4=/0x0/pic1165426.jpg,Industry / Manufacturing
38,The Manhattan Project,2012,249,https://cf.geekdo-images.com/original/img/GhNCYY9ALHoRAoiy2i5qTfGHKoE=/0x0/pic1222522.jpg,Industry / Manufacturing
39,Fields of Arle,2014,53,https://cf.geekdo-images.com/original/img/xlgiqGRKx6LZuhjh5iR-dtbMrJQ=/0x0/pic2225968.png,Industry / Manufacturing
40,Carcassonne,2000,151,https://cf.geekdo-images.com/original/img/o4p6f88SGE899BTNMzTvERVWZ-M=/0x0/pic2337577.jpg,Territory Building
41,Small World,2009,208,https://cf.geekdo-images.com/original/img/WvXe0YG-Mj2KBtyRSBNtRw4DIx0=/0x0/pic428828.jpg,Territory Building
42,Scythe,2016,8,https://cf.geekdo-images.com/original/img/enxCZt0Cn78-rlvmPvGtOej1ios=/0x0/pic3163924.jpg,Territory Building
43,Terraforming Mars,2016,4,https://cf.geekdo-images.com/original/img/o8z_levBVArPUKI7ZrIysZEs1A0=/0x0/pic3536616.jpg,Territory Building
44,The Castles of Burgundy,2011,13,https://cf.geekdo-images.com/original/img/w3EsrbF6-Gvr5_qBeF7YL1Rslnk=/0x0/pic1176894.jpg,Territory Building
45,Terra Mystica,2012,11,https://cf.geekdo-images.com/original/img/CynjY3GgwPTg34abNIv8eLX1pXs=/0x0/pic1356616.jpg,Territory Building
46,Takenoko,2011,236,https://cf.geekdo-images.com/original/img/7SDbClO-4sN6LICvfySB3jrFUhU=/0x0/pic1912529.jpg,Territory Building
47,Tigris & Euphrates,1997,72,https://cf.geekdo-images.com/original/img/vd6LHDJ-u-TkAAWafD2yG9-U974=/0x0/pic2338267.jpg,Territory Building
48,Blokus,2000,571,https://cf.geekdo-images.com/original/img/YAFla7Wy8VSzT6RGTGQOCt-9JfI=/0x0/pic2197702.jpg,Territory Building
49,Kingdomino,2016,197,https://cf.geekdo-images.com/original/img/iDSCIiCAd9SQHv3WoYX0QdvDE_0=/0x0/pic3132685.png,Territory Building
50,Ticket to Ride,2004,142,https://cf.geekdo-images.com/original/img/bOcAJxw-W-B2Gz0x67z8bjqzJgY=/0x0/pic38668.jpg,Trains
51,Ticket to Ride: Europe,2005,102,https://cf.geekdo-images.com/original/img/lN5ivSfgaJwEMXgyLijCtyKVUBs=/0x0/pic66668.jpg,Trains
52,Colt Express,2014,335,https://cf.geekdo-images.com/original/img/n9uCTxxSSZXPVnXRPSgGl6uZQ2w=/0x0/pic2869710.jpg,Trains
53,Russian Railroads,2013,71,https://cf.geekdo-images.com/original/img/QgRFOE3J6RK3ZfJk2qa3Xbgl0GY=/0x0/pic1772936.jpg,Trains
54,Railways of the World,2005,104,https://cf.geekdo-images.com/original/img/xeEMH5X0jBoXeY48Q5pE0JDOHP8=/0x0/pic3869603.jpg,Trains
55,Ticket to Ride: Nordic Countries,2007,128,https://cf.geekdo-images.com/original/img/GU-wGnipNb0UVXT9ebQBl86UrRk=/0x0/pic369616.jpg,Trains
56,Steam,2009,135,https://cf.geekdo-images.com/original/img/Ss958wDZnMLtO5OaxR9Ya855rpU=/0x0/pic392515.jpg,Trains
57,Ticket to Ride: Märklin,2006,264,https://cf.geekdo-images.com/original/img/ywSVi0CRXd1SpW21GIP70eYAVYQ=/0x0/pic162026.jpg,Trains
58,Age of Steam,2002,130,https://cf.geekdo-images.com/original/img/8zbcs1wIC4TNwVtKA9-HPDd2mKM=/0x0/pic4557340.png,Trains
59,TransAmerica,2001,967,https://cf.geekdo-images.com/original/img/VtGFsfVxbjmCV-_u_QNlSbSp2p4=/0x0/pic158561.jpg,Trains
60,Galaxy Trucker,2007,153,https://cf.geekdo-images.com/original/img/v0GLWVGXtaYIglLktLUBRr3s4gE=/0x0/pic3926631.jpg,Transportation
61,Thurn and Taxis,2006,376,https://cf.geekdo-images.com/original/img/OCseTfqqFRtInJ4lx7czVC4TFbc=/0x0/pic115300.jpg,Transportation
62,Keyflower,2012,47,https://cf.geekdo-images.com/original/img/t6AnEi2l5tiHgWRjglwSfRsYy6E=/0x0/pic2278942.jpg,Transportation
63,Brass: Lancashire,2007,22,https://cf.geekdo-images.com/original/img/l4dwCcl4Vz0r4TD-2RgQ_uoHvWM=/0x0/pic3469216.jpg,Transportation
64,Jamaica,2007,442,https://cf.geekdo-images.com/original/img/ro6l5aVaOy-F01HZKjMxAFt0YHc=/0x0/pic1502119.jpg,Transportation
65,Merchants & Marauders,2010,216,https://cf.geekdo-images.com/original/img/mNWaseFj2eSJP6VdhsIs9GdeYSs=/0x0/pic738119.jpg,Transportation
66,Railways of the World,2005,104,https://cf.geekdo-images.com/original/img/xeEMH5X0jBoXeY48Q5pE0JDOHP8=/0x0/pic3869603.jpg,Transportation
67,Steam,2009,135,https://cf.geekdo-images.com/original/img/Ss958wDZnMLtO5OaxR9Ya855rpU=/0x0/pic392515.jpg,Transportation
68,Ticket to Ride: Märklin,2006,264,https://cf.geekdo-images.com/original/img/ywSVi0CRXd1SpW21GIP70eYAVYQ=/0x0/pic162026.jpg,Transportation
69,Age of Steam,2002,130,https://cf.geekdo-images.com/original/img/8zbcs1wIC4TNwVtKA9-HPDd2mKM=/0x0/pic4557340.png,Transportation
70,Agricola,2007,25,https://cf.geekdo-images.com/original/img/L-UBO3rBOmvIrZHZLSXOypyAUPw=/0x0/pic259085.jpg,Farming
71,Puerto Rico,2002,20,https://cf.geekdo-images.com/original/img/RvdWBkmDks7AN8sodR4PyVcponA=/0x0/pic158548.jpg,Farming
72,Bohnanza,1997,398,https://cf.geekdo-images.com/original/img/Hwyjq4cYfXY2l07Hm9mncHlrI4U=/0x0/pic69366.jpg,Farming
73,Takenoko,2011,236,https://cf.geekdo-images.com/original/img/7SDbClO-4sN6LICvfySB3jrFUhU=/0x0/pic1912529.jpg,Farming
74,Tzolk'in: The Mayan Calendar,2012,38,https://cf.geekdo-images.com/original/img/b_3SHZiUpcmrIT5hU8wVF0SDX8k=/0x0/pic1413480.jpg,Farming
75,Caverna: The Cave Farmers,2013,23,https://cf.geekdo-images.com/original/img/xLuIh5VNsD57GXfcBox_ZF1jH4o=/0x0/pic1790789.jpg,Farming
76,Viticulture Essential Edition,2015,19,https://cf.geekdo-images.com/original/img/6KQbzbjV6HlxDZeqPwmrmR3gn6w=/0x0/pic2649952.jpg,Farming
77,Village,2011,124,https://cf.geekdo-images.com/original/img/XJ9DcBvOYgoSSNLjx0GP4If8hms=/0x0/pic2760568.jpg,Farming
78,Agricola: All Creatures Big and Small,2012,212,https://cf.geekdo-images.com/original/img/jeB8MXXENLZyEfwdcM5yD6OmUYw=/0x0/pic1514252.jpg,Farming
79,Goa,2004,129,https://cf.geekdo-images.com/original/img/ZO3q3cZqX_34C9i7MriB4u6txjk=/0x0/pic1215969.jpg,Farming
80,Betrayal at House on the Hill,2004,459,https://cf.geekdo-images.com/original/img/0Rb-Vnb2ImPLxv0jBU2dmUolbOU=/0x0/pic828598.jpg,Miniatures
81,Blood Rage,2015,30,https://cf.geekdo-images.com/original/img/p4IovYzLVXqxY40lbGUu92VxaIQ=/0x0/pic2439223.jpg,Miniatures
82,Gloomhaven,2017,1,https://cf.geekdo-images.com/original/img/lDN358RgcYvQfYYN6Oy2TXpifyM=/0x0/pic2437871.jpg,Miniatures
83,Memoir '44,2004,120,https://cf.geekdo-images.com/original/img/BWLGASv5ywVok8Be-qxkuM4AqtY=/0x0/pic43663.jpg,Miniatures
84,RoboRally,1994,374,https://cf.geekdo-images.com/original/img/6Qod68Kgmb6NgXWdOglFnfAZiiE=/0x0/pic1000553.jpg,Miniatures
85,Star Wars: X-Wing Miniatures Game,2012,75,https://cf.geekdo-images.com/original/img/6GthoJMvWgSpxVoWF1TEbMtXWd4=/0x0/pic1603292.jpg,Miniatures
86,Descent: Journeys in the Dark (Second Edition),2012,83,https://cf.geekdo-images.com/original/img/jGVm6aG5Ek-qxTIaWyzN67jjylc=/0x0/pic1180640.jpg,Miniatures
87,Star Wars: Imperial Assault,2014,34,https://cf.geekdo-images.com/original/img/wWTlEaPbVoUybefxFpFVTv1OU74=/0x0/pic2247647.jpg,Miniatures
88,Star Wars: Rebellion,2016,6,https://cf.geekdo-images.com/original/img/unCB4uE-nBtAH9glFd3FaVxYbIo=/0x0/pic4325841.jpg,Miniatures
89,Mansions of Madness: Second Edition,2016,27,https://cf.geekdo-images.com/original/img/0jncNnMHVZqa4u3oMwVm2Zn84q8=/0x0/pic3118622.jpg,Miniatures
90,Race for the Galaxy,2007,49,https://cf.geekdo-images.com/original/img/-2F-mPR0ssTm2IAsMAvnZzR0dn4=/0x0/pic236327.jpg,Space Exploration
91,Terraforming Mars,2016,4,https://cf.geekdo-images.com/original/img/o8z_levBVArPUKI7ZrIysZEs1A0=/0x0/pic3536616.jpg,Space Exploration
92,Battlestar Galactica: The Board Game,2008,66,https://cf.geekdo-images.com/original/img/-hZFpTm-evjyuLD_bj-y845-4f8=/0x0/pic354500.jpg,Space Exploration
93,Galaxy Trucker,2007,153,https://cf.geekdo-images.com/original/img/v0GLWVGXtaYIglLktLUBRr3s4gE=/0x0/pic3926631.jpg,Space Exploration
94,Eclipse,2011,39,https://cf.geekdo-images.com/original/img/583Qqo-5M56np8LqnFKcCuUfn7A=/0x0/pic1974056.jpg,Space Exploration
95,Cosmic Encounter,2008,117,https://cf.geekdo-images.com/original/img/gOe4HfaLyDfqDaCD38dTIalHUBk=/0x0/pic4243113.jpg,Space Exploration
96,Roll for the Galaxy,2014,67,https://cf.geekdo-images.com/original/img/SBmipyinTpLle9HmAfE0jJWKj3I=/0x0/pic1473629.jpg,Space Exploration
97,Twilight Imperium (Third Edition),2005,57,https://cf.geekdo-images.com/original/img/60YjBskGAQNmZP7sedVoXneBjZg=/0x0/pic4128153.jpg,Space Exploration
98,Space Alert,2008,180,https://cf.geekdo-images.com/original/img/bASSKEPd4V_exZ73z4EG0pg9ZrI=/0x0/pic384313.jpg,Space Exploration
99,Tiny Epic Galaxies,2015,243,https://cf.geekdo-images.com/original/img/A6HJirqAxZw79V5aoftDWAZHpdk=/0x0/pic2349732.jpg,Space Exploration
100,Saint Petersburg,2004,259,https://cf.geekdo-images.com/original/img/SmUqc6l884dsJfmWeTzgGReElNE=/0x0/pic246360.jpg,Age of Reason
101,Spirit Island,2017,15,https://cf.geekdo-images.com/original/img/RmP2yBDA0LE-ZFWrEXAkgRuYjn0=/0x0/pic3615739.png,Age of Reason
102,A Few Acres of Snow,2011,277,https://cf.geekdo-images.com/original/img/jyh8_a9_u1LO_nWUqXfLEGBYua8=/0x0/pic905905.jpg,Age of Reason
103,Rococo,2013,204,https://cf.geekdo-images.com/original/img/h4juFKZn1M56dsCtVnNsRYyvCs0=/0x0/pic1795272.jpg,Age of Reason
104,Louis XIV,2005,602,https://cf.geekdo-images.com/original/img/VjDT7UhY6VNILDWQFqLuRhheyyg=/0x0/pic63296.jpg,Age of Reason
105,Legacy: The Testament of Duke de Crecy,2013,605,https://cf.geekdo-images.com/original/img/_VSIJbiNN3H_cCiNo2yfe9xmME4=/0x0/pic2225856.jpg,Age of Reason
